codigo_veiculo;nome_veiculo_ref;capacidade_litros
1;VECTRA SEDAN ELEGANCE;60
2;FIORINO WORKING;47
4;GOL 1.6;50
5;VAN BOXER M300M HDI;90
6;SAVEIRO 1.6;54
7;KOMBI ESCOLAR;55
8;GOL SPECIAL;50
10;CAMINHÃO COLETOR DE LIXO L 1113;150
11;CAMINHÃO FOSSA L 1113;150
12;MOTO YBR 125;13
13;SAVEIRO AMBULÂNCIA 1.6;54
14;MICRO-ÔNIBUS MASCARELLO GRAN MINI ESCOLAR;100
15;GOL 1.0 GIV;50
16;MICRO-ÔNIBUS MASCARELLO GRAN MINI ESCOLAR;100
17;CAMINHÃO BASCULANTE 15.180 CNM;200
18;CAMINHÃO BASCULANTE 15.180 CNM;200
19;PÁ CARREGADEIRA ARTICULADA 638;120
20;MOTONIVELARORA PATROLA GD 523A;300
21;RETRO-ESCAVADEIRA MF 86 HS;100
22;ROÇADEIRA FS 280;5
24;KOMBI ESCOLAR;55
25;ÔNIBUS K112 33 S;200
26;ROÇADEIRA FS 280;5
27;MOTOBOMBA TOYAMA/TF55FX1;5
30;MONZA GL;53
31;ÔNIBUS ESCOLAR OF 1318;200
32;CAMINHÃO GMC/ 12.170;200
33;ÔNIBUS ESCOLAR OF 1318;200
34;ROLO COMPACTADOR TT-TH 10;80
35;ROÇADEIRA FS 280;5
36;ROÇADEIRA FS 280;5
37;MAQUINAS DE LAMA ASFALTICA;80
38;ROÇADEIRA FS 220;5
39;ÔNIBUS ESCOLAR OF 1318;200
40;ÔNIBUS ESCOLAR OF 1318;200
41;ÔNIBUS CIRCULAR;200
42;TRATOR ESTEIRA CARTEPILLAR;300
43;MICRO-ÔNIBUS VOLARE A8 ON;100
44;MOTOCICLETA FACTOR YBR 125 K;13
45;MICRO-ÔNIBUS VOLARE W8 ON;100
46;MICRO-ÔNIBUS MASCARELLO GRANMINI;100
47;MOTOCICLETA CG 125 FAN KS;13
48;MICRO-ÔNIBUS ESCOLAR CITYCLASS 70C16;100
49;VAN MASTER ALTECHAMB;80
50;AMBULÂNCIA DUCATO MC RONTANAMB;80
51;MOTOSERRA SHTIL MOD. 660;2
53;CAMINHÃO MERCEDEZ BENZ/1111 COLETOR LIXO;150
55;MAQUINA DE VENENO STIL SR 430;2
56;MAQUINA DE VENENO JACTO;5
61;VOYAGE TREND 1.6 MI TOTAL FLEX;50
62;KOMBI LOTAÇÃO 1.4 MI TOTAL FLEX - 12 LUGARES;55
63;KOMBI LOTAÇÃO 1.4 MI TOTAL FLEX - 12 LUGARES;55
64;VW/KOMBI 1.4 MI TOTAL FLEX - 9 LUGARES;55
67;TRATOR FORD 6610;70
68;ESCAVADEIRA HIDRÁULICA DOOSAN DX140 LC;200
69;MOTOSERRA STIHL MS 360;1
70;VW/ SAVEIRO 1.6 CS TREND;54
71;CAMINHÃO BASCULANTE GMC 12170 3 EIXOS;200
72;ROÇADEIRA FS-290 STIHL;5
73;ROÇADEIRA FS-290 STIHL;5
74;GOL 1.0 TREND 4 PORTAS;50
75;GOL 1.0 GIV - 4 PORTAS;50
76;CAMINHÃO BASCULANTE AGRALE 14000 6X2;200
77;KOMBI;55
78;PARATI 1.6 TRACK FIELD;50
79;AMBULÂNCIA MASTER ALTERCHAMB;80
81;RETROESCAVADEIRA 416 E CATERPILLAR;100
82;MOTONIVELADORA 120 K CATERPILLAR;300
83;NOVO GOL 1.6;50
84;MOTOPODA STILL;2
85;NOVA SAVEIRO 1.6 CS;54
86;GOL 1.0 GIV;50
87;BURRO PRETO REBOCAVEL;30
88;TRATOR NEW HOLLAND;100
89;VW/NOVO VOYAGE 1.6;50
90;TRATOR MONTANA SOLIS 75;60
91;TRATOR MONTANA SOLIS 75;60
92;VW/GOL 1.0 GIV;50
93;PÁ CARREGADEIRA 638 NOVA;120
94;VW/GOL CL 1.6 MI;50
95;ÔNIBUS COMIL VERSATILE I;250
96;MICROÔNIBUS MARCOPOLO/VOLARE V8L 4X4;100
97;CAMINHÃO ATRON 2729 K 6X4;400
98;TRATOR AGRICOLA 4X4 TRAMONTINI;80
99;AMBULÂNCIA FORD RANGER XL;80
100;ÔNIBUS OF 1519;200
101;AMBULÂNCIA MASTER RENAULT;80
102;FIORINO FURGÃO EVO 1.4 FLEX;47
104;CAMINHÃO TANQUE AGRALE;200
105;CAMINHÃO CARGO 3133 6X4;400
106;MOTOR GERADOR DE ENERGIA 105KVA;200
107;MOTO BOMBA BURRO PRETO;10
108;ROÇADEIRA RM 6006 TRAPP;5
109;STRADA WORKING 1.4 FIRE FLEX;55
110;MICRO-ÔNIBUS V8L;100
111;AMBULÂNCIA MASTER 2.3;80
112;AMBULÂNCIA MASTER ALTECHAMB;80
113;VW/KOMBI;55
114;TRATOR ROÇADEIRA LTI597 HUSQVARNA;10
115;SOPRADOR COSTAL TEKNA SC 600GA;2
116;VAN BOXER HDI;90
117;MINIVAN SPIN;52
118;TRATOR AGRICOLA JOHN DEERE;100
119;DUCATO MINIBUS;80
121;NOVO GOL TRENDLINE 1.6;50
122;FIAT/TORO 1.8 FLEX;72
123;ONIBUS W9 ON MARCOPOLO/VOLARE;120
124;ONIBUS W9 ON MARCOPOLO/VOLARE URBANO;120
125;GM CORSA WIND;45
126;CAR/CAMINHÃO MECI OPERACIONAL;80
127;VW/NOVO VOYAGE TL;50
128;ONIBUS MARCOPOLO VOLARE W-L;120
129;ONIBUS MARCOPOLO VOLARE W-L;120
130;VW/GOL CL 1.6 MI;50
131;FORD KA;43
132;FORD KA 1.0;43
133;FORD KA SE 1.5;43
134;FORD/KA SE 1.5;43
135;CAMINHÃO ATEGO 1419 COLETOR LIXO;200
136;VW SAVEIRO TRENDLINE 1.6;54
137;VOLARE EURO V8L ESCOLAR;100
138;CAMINHAO AMBULANCIA;80
139;FIAT/PUNTO ATTRACTIVE;45
140;CATERPILLAR 120B;300
141;CAMINHÃO VW/13.190 WORKER;200
142;ROLO COMPACTADOR;100
144;FORD/KA SE 1.5 SD;43
145;CHEV/SPIN SM ADAPT;52
146;FIAT/UNO ATTRACTIVE 1.0;47
147;ONIBUS RODOVIARIO MASCARELO;300
148;CITROEN AIRCROSS;50
149;MICROONIBUS;100
150;BURRO PRETO;20
151;CAMINHÃO BAÚ;200
152;BOB CAT CARREGADEIRA;50
154;RENAULT MASTER EURO AMBULÂNCIA;80
155;VW/NOVA SAVEIRO RB;54
156;CAR/CAMINHÃO MEC OPERACIONAL;80
157;MOTONIVELADORA;300
158;VW/PARATI 1.6 CITY;50
159;FIAT DUCATO GREENC AMB;80
160;CHEV/SPIN 18L MT PREMIER;52
