centro_de_custos	secretaria
 MANUTENÇÃO DA SEC. DE INFRAESTRUTURA  SERV PUBLIC	Infra Estrutura
AÇÃO DE ASSISTÊNCIA SOCIAL GERAL	Social
MANTER A ATENDIMENTO DA UNIDADE ANITA CANET	Saude
MANTER ATEND. DE QUALID. DEPTO DE SAÚDE	Saude
MANTER ATEND. QUALIFICADO ININTERRUPTO NO HOSPITAL	Saude
MANTER ATENDIMENTO NA UNIDADE BÁSICA - SAMU	Saude
MANTER O ATEN. QUALIFICADO ININTERRUPTO HOSPITAL	Saude
MANTER O ATEND. DE QUALIDADE NA UAPPSF	Saude
MANTER O ATENDIMENTO NAS UNIDADE ESPORTIVA	Cultura
MANTER O CENTRO DE EDUCAÇÃO INFANTIL	Educacao
MANTER O SISTEMA DE SAÚDE MUNICIPAL - VIG. SANIT	Saude
MANUT. AÇÕES DE ASSISTÊNCIA CRIANÇAS E ADOLECENTE	Social
MANUT. CENTRO DE REFERENCIA DE ASSIST. SOCIAL CRAS	Social
MANUT. CONSELHO MUNIC. DIREITOS DA CRIANÇA E ADOLE	Social
MANUT. DA SEÇÃO DE SERV. PÚBLICOS	Infra Estrutura
MANUT. DEPTO DA AGRICULTURA E MEIO AMBIENTE	Agricultura
MANUT. DEPTO DE FOM. AGROP. MEIO AMBIENTE	Agricultura
MANUT. DEPTO DE OBRAS, URB, TRANS. E SERV. PÚBLICO	Infra Estrutura
MANUT. DO DEPTO. DE ASSISTÊNCIA SOCIAL	Social
MANUT. DO SETOR DE SAÚDE E SAN. BÁSICO	Saude
MANUT. PROG. DE VIGIL. SANITÁRIA E EPIDEMIOLOGIA	Saude
MANUT. SERVIÇOS DE ATENDIMENTO MÓVEL AS URGÊNCIAS	Saude
MANUTENÇAO DA SEÇÃO DO TRANSPORTES	Administracao
MANUTENÇÃO ASSESORIA TÉCNINA DE ENGENHARIA	Infra Estrutura
MANUTENÇÃO DA ASSESSORIA JURIDICA	Administracao
MANUTENÇÃO DA COZINHA CENTRAL	Educacao
MANUTENÇÃO DA SECRETARIA DA EDUCAÇÃO - ED ESPECIAL	Educacao
MANUTENÇÃO DA SEÇÃO DE OBRAS	Infra Estrutura
MANUTENÇÃO DE ATIVIDADEDO ENSINO FUNDAMENTAL	Educacao
MANUTENÇÃO DE CRECHES	Educacao
MANUTENÇÃO DE TRASPORTE DE ALUNOS CURSO SUPERIOR	Universitarios
MANUTENÇÃO DEPARTAMENTO DE FAZENDA	Administracao
MANUTENÇÃO DEPARTAMENTO DE PLANEJAMENTO	Administracao
MANUTENÇÃO DEPTO DE ADMINISTRAÇÃO	Administracao
MANUTENÇÃO DO CONSELHO MUN. DE ASSISTÊNCIA SOCIAL	Social
MANUTENÇÃO DO CONSELHO TUTELAR	Social
MANUTENÇÃO DO DEPARTAMENTO DE CULTURA	Cultura
MANUTENÇÃO DO DEPARTAMENTO DE ESPORTE E LAZER	Cultura
MANUTENÇÃO DO DEPTO DE EDUCAÇÃO	Educacao
MANUTENÇÃO DO DEPTO DE SAÚDE	Saude
MANUTENÇÃO DO DESENVOLVIMENTO ECONÔMICO	Desenvolvimento Economico
MANUTENÇÃO DO GABINETE DO PREFEITO	Gabinete
MANUTENÇÃO DO HOSPITAL MUNICIPAL	Saude
MANUTENÇÃO DO POSTO DE SAÚDE	Saude
MANUTENÇÃO DO PROGRAMA AGENTE COMUNITÁRIO DE SAÚDE	Saude
MANUTENÇÃO DO PROGRAMA SAÚDE FAMÍLIA	Saude
MANUTENÇÃO DO SERVIÇO ODONTOLÓGICO	Saude
MANUTENÇÃO DO SETOR DE CONTABILIDADE	Fazenda
MANUTENÇÃO DO SETOR DE INFORMÁTICA	Administracao
MANUTENÇÃO DO SETOR DE RECURSOS HUMANOS	Administracao
MANUTENÇÃO DO SETOR TRIBUTÁRIO	Fazenda
MANUTENÇÃO PROCURADORIA MUNICIPAL	Juridico
MANUTENÇÃO PRÉ-ESCOLAR	Educacao
MANUTENÇÃO TRANSPORTE ESCOLAR	Educacao
MAUNTENÇÃO UNIDADE DE CONTROLE INTERNO	Controladoria
NAO INFORMADO	VERIFICAR
REALIZAR A MANUT. INFRAESTRUTURA URBANA	Infra Estrutura
REALIZAR MANUT.  E CONSERV PATRIMÔNIO PÚBLICO	Infra Estrutura
REALIZAR MANUTENÇÃO DAS AÇÕES DA SECRETARIA	VERIFICAR
